COURSE CODE;COURSE;DURATION;CUSTOMER;CUSTOMER IMPORT;TEACHER;TEACHER IMPORT;COURSE DATE;COURSE SHIFT;COMMERCIAL;COMMERCIAL IMPORT;CUSTOMER PAYMENT;COUNTRY;CITY;COMMERCIAL PAYMENT
COD-001;WORD;15;CUSTOMER-001; 375,00 € ;TEACHER-003; 180,00 € ;03/09/2021;MORNING;COMMERCIAL-003; 26,25 € ;YES;SPAIN;MADRID;YES
COD-002;EXCEL;20;CUSTOMER-002; 600,00 € ;TEACHER-002; 240,00 € ;30/09/2021;AFTERNOON;COMMERCIAL-002; 48,00 € ;YES;ITALY;ROME;YES
COD-003;ACCESS;18;CUSTOMER-004; 720,00 € ;TEACHER-001; 216,00 € ;04/08/2019;MORNING;COMMERCIAL-004; 72,00 € ;YES;SPAIN;MADRID;YES
COD-004;WORD;25;CUSTOMER-003; 625,00 € ;TEACHER-004; 300,00 € ;07/03/2019;MORNING;COMMERCIAL-001; 43,75 € ;YES;ITALY;ROME;NO
COD-005;WORD;20;CUSTOMER-005; 500,00 € ;TEACHER-005; 240,00 € ;04/03/2021;MORNING;COMMERCIAL-003; 35,00 € ;NO;FRANCE;PARIS;NO
COD-006;WORD;10;CUSTOMER-003; 250,00 € ;TEACHER-002; 120,00 € ;21/01/2019;MORNING;COMMERCIAL-002; 17,50 € ;NO;ITALY;ROME;YES
COD-007;EXCEL;12;CUSTOMER-004; 360,00 € ;TEACHER-001; 144,00 € ;18/07/2020;AFTERNOON;COMMERCIAL-004; 28,80 € ;NO;SPAIN;MADRID;YES
COD-008;EXCEL;15;CUSTOMER-003; 450,00 € ;TEACHER-004; 180,00 € ;16/04/2019;AFTERNOON;COMMERCIAL-001; 36,00 € ;NO;ITALY;ROME;YES
COD-009;EXCEL;20;CUSTOMER-006; 600,00 € ;TEACHER-003; 240,00 € ;06/08/2021;AFTERNOON;COMMERCIAL-002; 48,00 € ;NO;FRANCE;PARIS;YES
COD-010;INTERNET;25;CUSTOMER-004; 625,00 € ;TEACHER-002; 300,00 € ;07/10/2021;AFTERNOON;COMMERCIAL-004; 31,25 € ;YES;SPAIN;MADRID;YES
