CUSTOMER INVOICE NUMBER;CONCEPT;CUSTOMER;PROVINCE;SECTOR;CUSTOMER IMPORT;CUSTOMER INVOICE DATE;CUSTOMER PAYMENT;SUPPLIER;ZONE;TYPE;IMPORT SUPPLIER
1;DEVELOPMENT;CUSTOMER-0004;MADRID;CONSTRUCTION; 1.200,00 € ;31/07/2019;YES;PROV-005;ZONE 2;INTERNAL; 540,00 € 
2;PROJECT;CUSTOMER-0005;BARCELONA;METAL; 800,00 € ;02/06/2021;YES;PROV-003;ZONE 2;INTERNAL; 360,00 € 
3;TEAMS;CUSTOMER-0006;BARCELONA;BANK; 750,00 € ;13/04/2020;YES;PROV-005;ZONE 2;INTERNAL; 337,50 € 
4;PROGRAM;CUSTOMER-0007;BARCELONA;BANK; 4.500,00 € ;19/03/2020;YES;PROV-005;ZONE 2;INTERNAL; 2.025,00 € 
5;TRAINING;CUSTOMER-0003;MADRID;CONSTRUCTION; 500,00 € ;16/11/2019;YES;PROV-003;ZONE 2;INTERNAL; 225,00 € 
6;CONSULTING;CUSTOMER-0004;MADRID;CONSTRUCTION; 750,00 € ;18/02/2019;YES;PROV-005;ZONE 2;INTERNAL; 337,50 € 
7;DEVELOPMENT;CUSTOMER-0005;BARCELONA;METAL; 950,00 € ;20/03/2019;YES;PROV-003;ZONE 2;INTERNAL; 427,50 € 
8;PROJECT;CUSTOMER-0005;BARCELONA;METAL; 680,00 € ;23/07/2019;YES;PROV-005;ZONE 2;INTERNAL; 306,00 € 
9;TEAMS;CUSTOMER-0006;BARCELONA;BANK; 950,00 € ;24/12/2021;YES;PROV-005;ZONE 2;INTERNAL; 427,50 € 
10;PROGRAM;CUSTOMER-0007;BARCELONA;BANK; 1.500,00 € ;29/04/2019;YES;PROV-003;ZONE 2;INTERNAL; 675,00 € 
11;TRAINING;CUSTOMER-0008;ALICANTE;METAL; 5.000,00 € ;07/08/2020;YES;PROV-001;ZONE 1;EXTERNAL; 2.250,00 € 
12;CONSULTING;CUSTOMER-0009;ALICANTE;CONSTRUCTION; 6.500,00 € ;15/03/2019;YES;PROV-002;ZONE 1;EXTERNAL; 2.925,00 € 
13;DEVELOPMENT;CUSTOMER-0010;MADRID;BANK; 8.500,00 € ;09/06/2021;YES;PROV-001;ZONE 1;EXTERNAL; 3.825,00 € 
14;PROJECT;CUSTOMER-0001;MADRID;METAL; 1.200,00 € ;02/03/2021;YES;PROV-005;ZONE 2;INTERNAL; 540,00 € 
15;TEAMS;CUSTOMER-0010;MADRID;BANK; 300,00 € ;21/02/2019;NO;PROV-003;ZONE 2;INTERNAL; 135,00 € 
16;CONSULTING;CUSTOMER-0001;MADRID;METAL; 200,00 € ;12/02/2020;NO;PROV-005;ZONE 2;INTERNAL; 90,00 € 
17;DEVELOPMENT;CUSTOMER-0002;ALICANTE;CONSTRUCTION; 150,00 € ;29/05/2019;NO;PROV-005;ZONE 2;INTERNAL; 67,50 € 
18;PROJECT;CUSTOMER-0003;MADRID;CONSTRUCTION; 120,00 € ;02/07/2019;NO;PROV-003;ZONE 2;INTERNAL; 54,00 € 
19;TEAMS;CUSTOMER-0004;MADRID;CONSTRUCTION; 300,00 € ;01/12/2019;NO;PROV-005;ZONE 2;INTERNAL; 135,00 € 
20;PROGRAM;CUSTOMER-0005;BARCELONA;METAL; 350,00 € ;11/09/2021;NO;PROV-003;ZONE 2;INTERNAL; 157,50 € 
21;TRAINING;CUSTOMER-0006;BARCELONA;BANK; 300,00 € ;02/10/2019;NO;PROV-005;ZONE 2;INTERNAL; 135,00 € 
22;CONSULTING;CUSTOMER-0007;BARCELONA;BANK; 120,00 € ;05/04/2019;YES;PROV-005;ZONE 2;INTERNAL; 54,00 € 
23;DEVELOPMENT;CUSTOMER-0008;ALICANTE;METAL; 150,00 € ;02/11/2021;YES;PROV-003;ZONE 2;INTERNAL; 67,50 € 
24;PROJECT;CUSTOMER-0009;ALICANTE;CONSTRUCTION; 1.200,00 € ;14/11/2020;YES;PROV-001;ZONE 1;EXTERNAL; 540,00 € 
25;TEAMS;CUSTOMER-0010;MADRID;BANK; 800,00 € ;28/03/2019;YES;PROV-002;ZONE 1;EXTERNAL; 360,00 € 
26;PROGRAM;CUSTOMER-0004;MADRID;CONSTRUCTION; 750,00 € ;10/04/2020;YES;PROV-001;ZONE 1;EXTERNAL; 337,50 € 
27;PROJECT;CUSTOMER-0005;BARCELONA;METAL; 4.500,00 € ;03/06/2021;YES;PROV-004;ZONE 1;EXTERNAL; 2.025,00 € 
28;TEAMS;CUSTOMER-0005;BARCELONA;METAL; 500,00 € ;06/05/2021;YES;PROV-004;ZONE 1;EXTERNAL; 150,00 € 
29;PROGRAM;CUSTOMER-0006;BARCELONA;BANK; 750,00 € ;22/03/2020;YES;PROV-004;ZONE 1;EXTERNAL; 225,00 € 
30;TRAINING;CUSTOMER-0007;BARCELONA;BANK; 950,00 € ;04/07/2021;YES;PROV-004;ZONE 1;EXTERNAL; 285,00 € 
31;CONSULTING;CUSTOMER-0008;ALICANTE;METAL; 680,00 € ;12/05/2021;YES;PROV-004;ZONE 1;EXTERNAL; 204,00 € 
32;DEVELOPMENT;CUSTOMER-0009;ALICANTE;CONSTRUCTION; 950,00 € ;21/05/2019;YES;PROV-005;ZONE 2;INTERNAL; 285,00 € 
33;PROJECT;CUSTOMER-0010;MADRID;BANK; 1.500,00 € ;15/10/2019;YES;PROV-003;ZONE 2;INTERNAL; 450,00 € 
34;TEAMS;CUSTOMER-0001;MADRID;METAL; 5.000,00 € ;27/09/2021;YES;PROV-005;ZONE 2;INTERNAL; 1.500,00 € 
35;CONSULTING;CUSTOMER-0010;MADRID;BANK; 6.500,00 € ;27/10/2019;YES;PROV-005;ZONE 2;INTERNAL; 1.950,00 € 
36;DEVELOPMENT;CUSTOMER-0001;MADRID;METAL; 8.500,00 € ;22/02/2020;YES;PROV-003;ZONE 2;INTERNAL; 2.550,00 € 
37;PROJECT;CUSTOMER-0002;ALICANTE;CONSTRUCTION; 1.200,00 € ;20/10/2021;YES;PROV-005;ZONE 2;INTERNAL; 360,00 € 
38;TEAMS;CUSTOMER-0003;MADRID;CONSTRUCTION; 300,00 € ;16/06/2021;YES;PROV-003;ZONE 2;INTERNAL; 90,00 € 
39;PROGRAM;CUSTOMER-0004;MADRID;CONSTRUCTION; 200,00 € ;01/07/2020;YES;PROV-005;ZONE 2;INTERNAL; 60,00 € 
40;TRAINING;CUSTOMER-0005;BARCELONA;METAL; 150,00 € ;14/11/2019;YES;PROV-005;ZONE 2;INTERNAL; 45,00 € 
41;CONSULTING;CUSTOMER-0006;BARCELONA;BANK; 120,00 € ;09/05/2019;YES;PROV-003;ZONE 2;INTERNAL; 36,00 € 
42;DEVELOPMENT;CUSTOMER-0007;BARCELONA;BANK; 300,00 € ;26/06/2021;YES;PROV-001;ZONE 1;EXTERNAL; 90,00 € 
43;PROJECT;CUSTOMER-0008;ALICANTE;METAL; 350,00 € ;23/02/2019;NO;PROV-002;ZONE 1;EXTERNAL; 105,00 € 
